Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,India,Eastern India,IN-EA,678.72,732.43,10.3,8.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,India,Eastern India,IN-EA,679.13,732.9,10.25,8.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,India,Eastern India,IN-EA,665.41,719.1,12.06,10.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,India,Eastern India,IN-EA,642.44,695.86,15.12,13.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,India,Eastern India,IN-EA,640.85,694.29,15.34,14.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,India,Eastern India,IN-EA,639.42,692.83,15.54,14.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,India,Eastern India,IN-EA,637.34,690.71,15.82,14.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,India,Eastern India,IN-EA,636.52,689.86,15.93,14.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,India,Eastern India,IN-EA,661.19,714.67,12.74,11.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,India,Eastern India,IN-EA,639.79,693.17,15.5,14.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,India,Eastern India,IN-EA,642.23,695.62,15.18,14.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,India,Eastern India,IN-EA,649.26,702.71,14.25,13.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,India,Eastern India,IN-EA,677.09,730.88,10.53,8.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,India,Eastern India,IN-EA,684.31,738.18,9.59,7.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,India,Eastern India,IN-EA,685.35,739.23,9.45,7.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,India,Eastern India,IN-EA,685.6,739.47,9.42,7.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,India,Eastern India,IN-EA,685.24,739.12,9.47,7.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
