Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,India,North Eastern India,IN-NE,473.31,554.01,15.32,15.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 01:00:00,India,North Eastern India,IN-NE,467.25,547.81,16.15,15.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 02:00:00,India,North Eastern India,IN-NE,442.82,521.89,20.24,20.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 03:00:00,India,North Eastern India,IN-NE,434.93,513.77,21.37,21.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 04:00:00,India,North Eastern India,IN-NE,432.89,511.44,21.85,21.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 05:00:00,India,North Eastern India,IN-NE,432.45,510.65,22.19,22.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 06:00:00,India,North Eastern India,IN-NE,431.68,509.78,22.36,22.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 07:00:00,India,North Eastern India,IN-NE,431.88,509.93,22.38,22.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 08:00:00,India,North Eastern India,IN-NE,432.29,510.29,22.37,22.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 09:00:00,India,North Eastern India,IN-NE,435.22,513.4,21.88,21.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 10:00:00,India,North Eastern India,IN-NE,441.77,520.62,20.56,20.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 11:00:00,India,North Eastern India,IN-NE,465.57,546.52,16.05,15.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 12:00:00,India,North Eastern India,IN-NE,467.59,548.78,15.6,15.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 13:00:00,India,North Eastern India,IN-NE,466.75,548.11,15.55,15.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 14:00:00,India,North Eastern India,IN-NE,465.11,546.6,15.63,15.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 15:00:00,India,North Eastern India,IN-NE,466.5,547.86,15.57,15.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 16:00:00,India,North Eastern India,IN-NE,467.89,549.09,15.54,15.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 17:00:00,India,North Eastern India,IN-NE,470.89,551.79,15.43,15.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 18:00:00,India,North Eastern India,IN-NE,495.5,573.86,14.63,14.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 19:00:00,India,North Eastern India,IN-NE,517.2,593.41,13.86,13.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 20:00:00,India,North Eastern India,IN-NE,518.96,594.98,13.81,13.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 21:00:00,India,North Eastern India,IN-NE,522.88,598.45,13.71,13.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 22:00:00,India,North Eastern India,IN-NE,524.12,599.59,13.65,13.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 23:00:00,India,North Eastern India,IN-NE,523.79,599.36,13.62,13.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 00:00:00,India,North Eastern India,IN-NE,520.72,596.55,13.76,13.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 01:00:00,India,North Eastern India,IN-NE,515.25,591.09,14.41,14.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 02:00:00,India,North Eastern India,IN-NE,490.69,565.53,18.12,17.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 03:00:00,India,North Eastern India,IN-NE,479.28,553.99,19.58,19.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 04:00:00,India,North Eastern India,IN-NE,477.87,552.36,19.94,19.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 05:00:00,India,North Eastern India,IN-NE,479.2,553.43,20.02,19.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 06:00:00,India,North Eastern India,IN-NE,478.65,552.75,20.18,19.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 07:00:00,India,North Eastern India,IN-NE,479.63,553.56,20.2,19.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 08:00:00,India,North Eastern India,IN-NE,480.2,554.03,20.2,19.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 09:00:00,India,North Eastern India,IN-NE,484.11,557.98,19.72,19.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 10:00:00,India,North Eastern India,IN-NE,488.23,562.67,18.75,18.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 11:00:00,India,North Eastern India,IN-NE,509.76,585.57,15.1,14.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 12:00:00,India,North Eastern India,IN-NE,516.24,592.36,14.05,13.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 13:00:00,India,North Eastern India,IN-NE,516.4,592.7,13.89,13.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 14:00:00,India,North Eastern India,IN-NE,514.68,591.1,13.98,13.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 15:00:00,India,North Eastern India,IN-NE,518.75,594.81,13.8,13.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 16:00:00,India,North Eastern India,IN-NE,521.53,597.23,13.76,13.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 17:00:00,India,North Eastern India,IN-NE,527.38,602.5,13.55,13.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 18:00:00,India,North Eastern India,IN-NE,535.38,609.68,13.29,12.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 19:00:00,India,North Eastern India,IN-NE,528.58,603.51,13.56,13.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 20:00:00,India,North Eastern India,IN-NE,528.52,603.44,13.57,13.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 21:00:00,India,North Eastern India,IN-NE,530.25,604.93,13.55,13.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 22:00:00,India,North Eastern India,IN-NE,529.29,604.06,13.59,13.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 23:00:00,India,North Eastern India,IN-NE,527.19,602.21,13.63,13.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 00:00:00,India,North Eastern India,IN-NE,519.5,595.2,13.97,13.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 01:00:00,India,North Eastern India,IN-NE,523.03,597.92,14.24,13.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 02:00:00,India,North Eastern India,IN-NE,497.62,571.72,17.87,17.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 03:00:00,India,North Eastern India,IN-NE,484.13,558.23,19.47,19.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
