Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,India,Northern India,IN-NO,612.26,667.25,18.39,14.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,India,Northern India,IN-NO,612.3,667.3,18.39,14.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,India,Northern India,IN-NO,595.8,650.53,20.59,16.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,India,Northern India,IN-NO,490.32,543.39,34.65,31.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,India,Northern India,IN-NO,473.06,525.91,36.95,34.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,India,Northern India,IN-NO,460.76,513.38,38.59,35.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,India,Northern India,IN-NO,439.17,491.3,41.46,38.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,India,Northern India,IN-NO,434.59,486.62,42.07,38.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,India,Northern India,IN-NO,433.77,485.77,42.18,38.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,India,Northern India,IN-NO,438.71,490.78,41.53,38.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,India,Northern India,IN-NO,442.54,494.61,41.01,37.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,India,Northern India,IN-NO,466.27,518.65,37.85,33.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,India,Northern India,IN-NO,606.28,660.91,19.19,14.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,India,Northern India,IN-NO,608.05,662.75,18.95,14.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,India,Northern India,IN-NO,607.77,662.45,18.99,14.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,India,Northern India,IN-NO,607.5,662.16,19.03,14.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,India,Northern India,IN-NO,608.8,663.55,18.85,14.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,India,Northern India,IN-NO,609.14,663.92,18.81,14.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
