Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,India,Western India,IN-WE,646.9,702.22,13.64,11.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,India,Western India,IN-WE,651.27,706.86,13.06,11.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,India,Western India,IN-WE,629.42,684.66,15.97,14.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,India,Western India,IN-WE,595.19,649.85,20.54,19.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,India,Western India,IN-WE,590.65,645.32,21.15,19.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,India,Western India,IN-WE,578.39,632.6,22.79,21.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,India,Western India,IN-WE,574.7,629.29,23.24,21.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,India,Western India,IN-WE,581.77,636.73,22.29,21.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,India,Western India,IN-WE,578.64,633.41,22.72,21.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,India,Western India,IN-WE,578.52,633.21,22.73,21.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,India,Western India,IN-WE,580.16,634.87,22.51,21.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,India,Western India,IN-WE,588.39,643.22,21.41,19.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,India,Western India,IN-WE,631.77,687.37,15.6,13.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,India,Western India,IN-WE,647.77,703.62,13.46,11.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,India,Western India,IN-WE,645.32,701.01,13.78,11.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,India,Western India,IN-WE,642.26,697.7,14.2,12.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,India,Western India,IN-WE,642.81,698.28,14.12,12.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,India,Western India,IN-WE,641.63,696.99,14.29,12.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,India,Western India,IN-WE,634.58,688.93,15.44,13.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,India,Western India,IN-WE,633.67,687.88,15.57,13.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,India,Western India,IN-WE,630.83,684.83,15.95,13.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,India,Western India,IN-WE,631.27,685.28,15.89,13.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,India,Western India,IN-WE,631.29,685.32,15.89,13.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,India,Western India,IN-WE,633.43,687.58,15.61,13.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
