actual,predicted,residuals,abs_error,percentage_error
0.8026222,0.76598775,0.036634445,0.036634445,4.564345
0.85099053,0.7571225,0.09386802,0.09386802,11.030442
0.7039357,0.569184,0.13475168,0.13475168,19.142612
0.42819834,0.23640597,0.19179237,0.19179237,44.790546
0.39520282,0.28019434,0.11500847,0.11500847,29.101128
0.3715061,0.31644773,0.05505836,0.05505836,14.820312
0.38252956,0.22518748,0.15734208,0.15734208,41.132008
0.33273637,0.24253085,0.09020552,0.09020552,27.110207
0.33071166,0.30116612,0.029545546,0.029545546,8.933929
0.33093667,0.35406584,-0.023129165,0.023129165,6.989001
0.3583079,0.38756764,-0.029259741,0.029259741,8.166089
0.42242414,0.56034654,-0.1379224,0.1379224,32.65022
0.7375311,0.73273,0.004801154,0.004801154,0.6509765
0.8664384,0.75749874,0.10893965,0.10893965,12.573271
0.8455913,0.78226876,0.063322544,0.063322544,7.4885516
0.81124604,0.8155768,-0.0043307543,0.0043307543,0.5338398
0.8089963,0.82379866,-0.014802337,0.014802337,1.8297162
0.7957982,0.8083885,-0.012590289,0.012590289,1.5820957
0.77240133,0.79240096,-0.019999623,0.019999623,2.5892787
0.76527727,0.7740464,-0.008769155,0.008769155,1.1458794
0.7470547,0.75519073,-0.008136034,0.008136034,1.0890814
0.7502793,0.7484157,0.0018635988,0.0018635988,0.24838734
0.803597,0.76205456,0.04154241,0.04154241,5.1695576
0.81769514,0.7812629,0.036432266,0.036432266,4.455483
0.8345678,0.7996601,0.0349077,0.0349077,4.182728
0.85646474,0.7867594,0.06970537,0.06970537,8.138732
0.72050846,0.606968,0.11354047,0.11354047,15.758382
0.4857155,0.27621818,0.20949733,0.20949733,43.131695
0.41387528,0.306409,0.10746628,0.10746628,25.96586
0.40345174,0.33313096,0.070320785,0.070320785,17.429789
0.40885103,0.24514794,0.16370308,0.16370308,40.039787
0.3685065,0.25715643,0.11135006,0.11135006,30.216581
0.3552333,0.3219918,0.03324151,0.03324151,9.357656
0.36055756,0.37412995,-0.013572395,0.013572395,3.7642796
0.38177967,0.4306178,-0.04883814,0.04883814,12.792232
0.4540698,0.5839386,-0.1298688,0.1298688,28.601068
0.77270126,0.7484142,0.024287045,0.024287045,3.143135
0.9010087,0.7652011,0.13580763,0.13580763,15.072844
0.88803554,0.8001082,0.08792734,0.08792734,9.901331
0.86523867,0.8453679,0.019870758,0.019870758,2.2965639
0.8687632,0.8658571,0.002906084,0.002906084,0.33450818
0.86291385,0.86123776,0.0016760826,0.0016760826,0.19423522
0.81297076,0.8497071,-0.03673637,0.03673637,4.518781
0.80652165,0.8259785,-0.019456863,0.019456863,2.4124415
0.7925736,0.8036245,-0.01105094,0.01105094,1.3943108
0.7868744,0.7958541,-0.008979678,0.008979678,1.1411831
0.7807251,0.8048364,-0.02411127,0.02411127,3.0883176
0.7947483,0.8038527,-0.009104371,0.009104371,1.1455666
0.8350928,0.81131554,0.023777246,0.023777246,2.847258
0.8437166,0.8004807,0.043235898,0.043235898,5.1244574
0.69021255,0.59674966,0.093462884,0.093462884,13.541174
0.44334626,0.26259333,0.18075293,0.18075293,40.77015
0.4053265,0.28917003,0.11615646,0.11615646,28.657505
0.40412658,0.30375284,0.100373745,0.100373745,24.837204
0.40105206,0.22965309,0.17139897,0.17139897,42.73734
0.37233096,0.23054647,0.14178449,0.14178449,38.08023
0.3597327,0.30670387,0.053028822,0.053028822,14.741175
0.36685675,0.3814782,-0.014621437,0.014621437,3.9855983
0.3826046,0.44231653,-0.059711933,0.059711933,15.606695
0.43869692,0.58457696,-0.14588004,0.14588004,33.253036
0.72740746,0.76408803,-0.03668058,0.03668058,5.0426455
0.86853814,0.78477633,0.08376181,0.08376181,9.643999
0.8446164,0.8026947,0.041921735,0.041921735,4.963405
0.8212197,0.8327645,-0.011544824,0.011544824,1.4058143
0.80232227,0.84695387,-0.0446316,0.0446316,5.562802
0.78020024,0.8288224,-0.04862213,0.04862213,6.232007
0.77217627,0.8023677,-0.030191422,0.030191422,3.909913
0.7660271,0.78316474,-0.017137647,0.017137647,2.2372115
0.75747836,0.76414096,-0.006662607,0.006662607,0.8795773
0.75702846,0.76213384,-0.0051053762,0.0051053762,0.6743969
0.80524683,0.7706667,0.03458011,0.03458011,4.294349
0.77885044,0.7886008,-0.009750366,0.009750366,1.251892
0.8293185,0.79571295,0.033605576,0.033605576,4.0521917
0.8488909,0.7846503,0.064240575,0.064240575,7.567589
0.7002611,0.58410585,0.11615527,0.11615527,16.587423
0.45856917,0.27048594,0.18808323,0.18808323,41.015236
0.42362392,0.30271107,0.12091285,0.12091285,28.542498
0.37570548,0.33003592,0.045669556,0.045669556,12.15568
0.36903143,0.23534122,0.13369021,0.13369021,36.22732
0.31983817,0.22246206,0.09737611,0.09737611,30.445429
0.31893831,0.28819925,0.030739069,0.030739069,9.637936
0.33341134,0.35760868,-0.02419734,0.02419734,7.257504
0.35823286,0.40276027,-0.04452741,0.04452741,12.42974
0.42474884,0.5696891,-0.14494026,0.14494026,34.123756
0.7247078,0.7546019,-0.029894114,0.029894114,4.1249886
0.87176275,0.76849663,0.10326612,0.10326612,11.845668
0.855265,0.7890358,0.066229224,0.066229224,7.743708
0.8142456,0.82213163,-0.007886052,0.007886052,0.96851027
0.7969979,0.83206654,-0.03506863,0.03506863,4.4000907
0.7834997,0.811093,-0.027593255,0.027593255,3.5217953
0.78657436,0.7905433,-0.003968954,0.003968954,0.5045873
0.78567445,0.7796544,0.006020069,0.006020069,0.76622945
0.7661021,0.76434135,0.0017607212,0.0017607212,0.22982855
0.7643024,0.760061,0.0042413473,0.0042413473,0.55493057
0.75942814,0.7713908,-0.011962652,0.011962652,1.5752186
0.7697017,0.7749218,-0.0052200556,0.0052200556,0.678192
0.81169593,0.78336704,0.028328896,0.028328896,3.490087
0.8570647,0.7724017,0.08466303,0.08466303,9.878255
0.7031858,0.56961536,0.13357043,0.13357043,18.99504
0.43014807,0.253555,0.17659307,0.17659307,41.05402
0.39332813,0.280478,0.11285013,0.11285013,28.69109
0.36025763,0.29500365,0.06525397,0.06525397,18.11314
0.36745661,0.19860473,0.16885188,0.16885188,45.951515
0.32606226,0.20668373,0.11937854,0.11937854,36.61219
0.31391394,0.27974236,0.03417158,0.03417158,10.885653
0.32463747,0.33714002,-0.012502551,0.012502551,3.8512344
0.35050893,0.37260777,-0.02209884,0.02209884,6.304786
0.4215243,0.5527415,-0.13121724,0.13121724,31.129223
0.72898227,0.7466612,-0.017678916,0.017678916,2.4251504
0.8890103,0.7670194,0.12199092,0.12199092,13.722104
0.86583865,0.7896607,0.076177955,0.076177955,8.79817
0.85286534,0.8236977,0.029167652,0.029167652,3.41996
0.84626627,0.8455671,0.0006991625,0.0006991625,0.08261732
0.84214175,0.8387096,0.0034321547,0.0034321547,0.40755072
0.8460412,0.82481384,0.02122736,0.02122736,2.509022
0.8386172,0.8191514,0.019465804,0.019465804,2.3211787
0.8225694,0.80635417,0.016215205,0.016215205,1.9712873
0.8198699,0.7972019,0.022668004,0.022668004,2.7648294
0.81896985,0.8156371,0.003332734,0.003332734,0.40694225
0.8308934,0.81832635,0.012567043,0.012567043,1.5124736
0.85788965,0.82682145,0.031068206,0.031068206,3.6214688
0.8682382,0.80949867,0.058739543,0.058739543,6.7653713
0.723883,0.58606094,0.13782203,0.13782203,19.03927
0.45759434,0.29010952,0.16748482,0.16748482,36.601154
0.4022519,0.30069816,0.10155374,0.10155374,25.246304
0.34300995,0.29384524,0.049164712,0.049164712,14.33332
0.35853285,0.19243109,0.16610175,0.16610175,46.328182
0.30866468,0.19700608,0.1116586,0.1116586,36.17473
0.30536515,0.26088125,0.0444839,0.0444839,14.567445
0.30933958,0.3165925,-0.0072529316,0.0072529316,2.3446505
0.3241126,0.3537389,-0.02962631,0.02962631,9.140746
0.38612914,0.5182918,-0.13216263,0.13216263,34.22757
0.6918623,0.74017256,-0.04831028,0.04831028,6.982644
0.83569264,0.77474105,0.06095159,0.06095159,7.293542
0.8123709,0.7794659,0.032904983,0.032904983,4.0504875
